2016-01-19,03:31:49 14
2016-01-19,03:32:49 14
2016-01-19,03:33:49 3
2016-01-19,03:34:49 4
2016-01-19,03:35:49 16
2016-01-19,03:36:49 6
2016-01-19,03:37:49 10
2016-01-19,03:38:50 1
2016-01-19,03:39:50 14
2016-01-19,03:40:50 16
2016-01-19,03:41:50 0
2016-01-19,03:42:50 2
2016-01-19,03:43:50 6
2016-01-19,03:44:50 6
2016-01-19,03:45:50 19
2016-01-19,03:46:50 0
2016-01-19,03:47:50 8
2016-01-19,03:48:50 18
2016-01-19,03:49:50 6
2016-01-19,03:50:50 6
2016-01-19,03:51:50 7
2016-01-19,03:52:50 7
2016-01-19,03:53:50 8
2016-01-19,03:54:50 9
2016-01-19,03:55:50 1
2016-01-19,03:56:50 9
2016-01-19,03:57:50 2
2016-01-19,03:58:50 12
2016-01-19,03:59:50 0
2016-01-19,04:00:50 17
2016-01-19,04:01:50 8
2016-01-19,04:02:50 7
2016-01-19,04:03:50 14
2016-01-19,04:04:50 0
2016-01-19,04:05:50 7
2016-01-19,04:06:50 11
2016-01-19,04:07:50 8
2016-01-19,04:08:50 19
2016-01-19,04:09:50 0
2016-01-19,04:10:50 10
2016-01-19,04:11:51 5
2016-01-19,04:12:51 5
2016-01-19,04:13:51 10
2016-01-19,04:14:51 0
2016-01-19,04:15:51 4
2016-01-19,04:16:51 7
